,City,Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Latitude,Longitude
0,riyadh,107.6,8,40,8.21,24.63,46.72
1,rikitea,71.2,93,100,18.12,-23.12,-134.97
2,taolanaro,,,,,,
3,buraydah,105.8,18,0,13.91,26.33,43.97
4,jamestown,44.56,87,0,4.43,-33.21,138.6
5,belushya guba,,,,,,
6,male,59.14,78,100,6.76,50.74,33.7
7,iranshahr,104,28,0,16.11,27.21,60.69
8,hilo,74.52,88,90,6.93,19.71,-155.08
9,kirakira,77.68,86,82,11.23,-10.46,161.92
10,kaitangata,46,66,100,17,-46.28,169.85
11,carnarvon,53.38,60,0,7.11,-30.97,22.13
12,saleaula,,,,,,
13,mataura,46,91,100,14,-46.19,168.86
14,solwezi,58.42,32,99,4.14,-12.18,26.4
15,chuy,54.82,58,27,4.47,-33.69,-53.46
16,longyearbyen,51.8,76,0,2.24,78.22,15.63
17,grand gaube,72.86,83,20,2.24,-20.01,57.66
18,khatanga,43.3,94,77,3.65,71.98,102.47
19,ankang,60.04,91,88,1.81,32.73,108.99
20,egvekinot,68.68,45,22,2.42,66.32,-179.17
21,albany,78.55,34,20,6.93,42.65,-73.75
22,grand river south east,,,,,,
23,busselton,47.57,72,61,15.39,-33.64,115.35
24,praia da vitoria,74.68,83,40,6.29,38.73,-27.07
25,port alfred,64,72,74,5.99,-33.59,26.89
26,chokurdakh,58.24,65,0,8.21,70.62,147.9
27,barentsburg,,,,,,
28,hasaki,63.66,88,75,10.29,35.73,140.83
29,bethel,67.12,93,1,4.7,60.79,-161.76
30,ushuaia,44.35,65,0,3.36,-54.81,-68.31
31,flinders,50.59,81,0,9.17,-34.58,150.85
32,jumla,56.8,96,100,2.64,29.28,82.18
33,oxford,70.88,49,40,2.24,51.75,-1.26
34,san policarpo,77.5,90,97,5.99,12.18,125.51
35,luderitz,64.4,63,0,14.99,-26.65,15.16
36,tasiilaq,46.4,70,5,10.29,65.61,-37.64
37,hobart,44.4,66,20,12.75,-42.88,147.33
38,khorinsk,51.94,76,0,0.89,52.16,109.78
39,san quintin,74.44,93,100,2.66,17.54,120.52
40,dikson,32.32,97,100,16.55,73.51,80.55
41,butaritari,82,73,100,5.1,3.07,172.79
42,kapaa,79.14,78,90,16.11,22.08,-159.32
43,barrow,52.48,59,100,13.35,-38.31,-60.23
44,lasa,81.25,78,0,10.29,34.92,32.53
45,churapcha,60.58,73,55,7.2,62,132.43
